Year,Conference,Place,School
2020,American Midwest Conference/Sooner Athletic Conference,1,Williams Baptist (Ark.) - Mens
2020,American Midwest Conference/Sooner Athletic Conference,2,Texas Wesleyan University - Mens
2020,American Midwest Conference/Sooner Athletic Conference,2,Lincoln (Ill.) - Mens
2020,American Midwest Conference/Sooner Athletic Conference,3,Oklahoma City University - Mens
2020,American Midwest Conference/Sooner Athletic Conference,4,Wayland Baptist (Texas) - Mens
2020,American Midwest Conference/Sooner Athletic Conference,4,Central Baptist (Ark.) - Mens
2020,American Midwest Conference/Sooner Athletic Conference,5,Lyon (Ark.) - Mens
2020,American Midwest Conference/Sooner Athletic Conference,6,Hannibal-LaGrange (Mo.) - Mens
2020,American Midwest Conference/Sooner Athletic Conference,8,Central Christian College - Mens
2020,Appalachian Athletic Conference,1,Reinhardt (Ga.) - Mens
2020,Appalachian Athletic Conference,2,Truett-McConnell (Ga.) - Mens
2020,Appalachian Athletic Conference,3,Montreat (N.C.) - Mens
2020,Appalachian Athletic Conference,4,Bluefield (Va.) - Mens
2020,Appalachian Athletic Conference,5,St. Andrews (N.C.) - Mens
2020,Appalachian Athletic Conference,6,WVU Tech (W.Va.) - Mens
2020,Cascade Collegiate Conference,1,Montana State-Northern - Mens
2020,Great Plains Athletic Conference,1,Morningside (Iowa) - Mens
2020,Great Plains Athletic Conference,2,Briar Cliff (Iowa) - Mens
2020,Great Plains Athletic Conference,3,Doane (Neb.) - Mens
2020,Great Plains Athletic Conference,4,Hastings (Neb.) - Mens
2020,Great Plains Athletic Conference,5,Northwestern (Iowa) - Mens
2020,Great Plains Athletic Conference,6,Concordia (Neb.) - Mens
2020,Great Plains Athletic Conference,7,Midland (Neb.) - Mens
2020,Great Plains Athletic Conference,9,Dakota Wesleyan (S.D.) - Mens
2020,Great Plains Athletic Conference,9,Waldorf (Iowa) - Mens
2020,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2020,Heart of America Athletic Conference,2,Missouri Valley College
2020,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2020,Heart of America Athletic Conference,3,Graceland (Iowa) - Mens
2020,Heart of America Athletic Conference,4,Baker (Kan.) - Mens
2020,Heart of America Athletic Conference,5,Dickinson State (N.D.) - Mens
2020,Heart of America Athletic Conference,6,Central Methodist (Mo.) - Mens
2020,Heart of America Athletic Conference,7,William Penn (Iowa) - Mens
2020,Heart of America Athletic Conference,8,Benedictine (Kan.) - Mens
2020,Kansas Collegiate Athletic Conference,1,Ottawa (Kan.) - Mens
2020,Kansas Collegiate Athletic Conference,5,York (Neb.) - Mens
2020,Kansas Collegiate Athletic Conference,6,Bethany (Kan.) - Mens
2020,Kansas Collegiate Athletic Conference,7,Oklahoma Wesleyan (Okla.) - Mens
2020,Kansas Collegiate Athletic Conference,8,Jamestown (N.D.) - Mens
2020,Mid-South Conference,1,Lindsey Wilson (Ky.) - Mens
2020,Mid-South Conference,2,Cumberland (Tenn.) - Mens
2020,Mid-South Conference,3,Cumberlands (Ky.) - Mens
2020,Mid-South Conference,4,Thomas More (Ky.) - Mens
2020,Mid-South Conference,5,Campbellsville (Ky.) - Mens
2020,Mid-South Conference,6,Midway (Ky.) - Mens
2020,Mid-South Conference,7,Rio Grande (Ohio) - Mens
2020,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2020,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2020,Wolverine-Hoosier Athletic Conference,3,Lourdes (Ohio) - Mens
2020,Wolverine-Hoosier Athletic Conference,5,Cleary (Mich.) - Mens
2020,Wolverine-Hoosier Athletic Conference,6,Siena Heights (Mich.) - Mens
2021,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2021,American Midwest Conference/Sooner Athletic Conference,1,Williams Baptist College - Mens
2021,American Midwest Conference/Sooner Athletic Conference,1,Lincoln (Ill.) - Mens
2021,American Midwest Conference/Sooner Athletic Conference,2,Texas Wesleyan University - Mens
2021,American Midwest Conference/Sooner Athletic Conference,2,Williams Baptist (Ark.) - Mens
2021,American Midwest Conference/Sooner Athletic Conference,3,Wayland Baptist (Texas) - Mens
2021,American Midwest Conference/Sooner Athletic Conference,4,Lyon (Ark.) - Mens
2021,American Midwest Conference/Sooner Athletic Conference,5,Central Baptist (Ark.) - Mens
2021,American Midwest Conference/Sooner Athletic Conference,6,Hannibal-LaGrange (Mo.) - Mens
2021,American Midwest Conference/Sooner Athletic Conference,7,Calumet (Ind.) - Mens
2021,Appalachian Athletic Conference,1,Reinhardt (Ga.) - Mens
2021,Appalachian Athletic Conference,2,Montreat (N.C.) - Mens
2021,Appalachian Athletic Conference,3,Truett-McConnell (Ga.) - Mens
2021,Appalachian Athletic Conference,4,Bluefield (Va.) - Mens
2021,Appalachian Athletic Conference,5,St. Andrews (N.C.) - Mens
2021,Appalachian Athletic Conference,6,WVU Tech (W.Va.) - Mens
2021,Cascade Collegiate Conference,1,Eastern Oregon University - Mens
2021,Cascade Collegiate Conference,2,Menlo (Calif.) - Mens
2021,Cascade Collegiate Conference,3,Montana State-Northern - Mens
2021,Cascade Collegiate Conference,4,Embry-Riddle (Ariz.) - Mens
2021,Cascade Collegiate Conference,5,Vanguard (Calif.) - Mens
2021,Cascade Collegiate Conference,6,Providence (Mont.) - Mens
2021,Cascade Collegiate Conference,7,Corban (Ore.) - Mens
2021,Cascade Collegiate Conference,8,Southern Oregon University - Mens
2021,Cascade Collegiate Conference,9,Simpson (Calif.) - Mens
2021,Cascade Collegiate Conference,10,Life Pacific (Calif.) - Mens
2021,Cascade Collegiate Conference,11,Arizona Christian University - Mens
2021,Cascade Collegiate Conference,12,Warner Pacific (Ore.) - Mens
2021,Great Plains Athletic Conference,1,Doane University - Mens
2021,Great Plains Athletic Conference,2,Morningside (Iowa) - Mens
2021,Great Plains Athletic Conference,3,Hastings (Neb.) - Mens
2021,Great Plains Athletic Conference,4,Briar Cliff (Iowa) - Mens
2021,Great Plains Athletic Conference,5,Northwestern (Iowa) - Mens
2021,Great Plains Athletic Conference,6,Concordia (Neb.) - Mens
2021,Great Plains Athletic Conference,7,Midland (Neb.) - Mens
2021,Great Plains Athletic Conference,9,Dakota Wesleyan (S.D.) - Mens
2021,Great Plains Athletic Conference,9,Waldorf (Iowa) - Mens
2021,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2021,Heart of America Athletic Conference,2,Baker (Kan.) - Mens
2021,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2021,Heart of America Athletic Conference,3,Missouri Valley College
2021,Heart of America Athletic Conference,4,Graceland (Iowa) - Mens
2021,Heart of America Athletic Conference,5,Dickinson State (N.D.) - Mens
2021,Heart of America Athletic Conference,6,Central Methodist (Mo.) - Mens
2021,Heart of America Athletic Conference,7,William Penn (Iowa) - Mens
2021,Heart of America Athletic Conference,8,Benedictine (Kan.) - Mens
2021,Kansas Collegiate Athletic Conference,1,Ottawa (Kan.) - Mens
2021,Kansas Collegiate Athletic Conference,2,York (Neb.) - Mens
2021,Kansas Collegiate Athletic Conference,3,Saint Mary (Kan.) - Mens
2021,Kansas Collegiate Athletic Conference,4,Avila (Mo.) - Mens
2021,Kansas Collegiate Athletic Conference,5,Friends (Kan.) - Mens
2021,Kansas Collegiate Athletic Conference,6,Oklahoma Wesleyan University - Mens
2021,Kansas Collegiate Athletic Conference,7,Bethany (Kan.) - Mens
2021,Kansas Collegiate Athletic Conference,8,Jamestown (N.D.) - Mens
2021,Mid-South Conference,1,Cumberlands (Ky.) - Mens
2021,Mid-South Conference,2,Cumberland (Tenn.) - Mens
2021,Mid-South Conference,3,Lindsey Wilson (Ky.) - Mens
2021,Mid-South Conference,4,Campbellsville (Ky.) - Mens
2021,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2021,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2021,Wolverine-Hoosier Athletic Conference,3,Cornerstone (Mich.) - Mens
2021,Wolverine-Hoosier Athletic Conference,4,Lourdes (Ohio) - Mens
2021,Wolverine-Hoosier Athletic Conference,5,Siena Heights (Mich.) - Mens
2021,Wolverine-Hoosier Athletic Conference,6,Cleary (Mich.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2022,American Midwest Conference/Sooner Athletic Conference,2,Texas Wesleyan University - Mens
2022,American Midwest Conference/Sooner Athletic Conference,4,Wayland Baptist (Texas) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,5,Williams Baptist (Ark.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,6,Central Baptist (Ark.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,7,Central Christian (Kan.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,8,Lyon (Ark.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,9,Jarvis Christian (Texas) - Mens
2022,Appalachian Athletic Conference,1,Life (Ga.) - Mens
2022,Appalachian Athletic Conference,2,Southeastern (Fla.) - Mens
2022,Appalachian Athletic Conference,3,Reinhardt (Ga.) - Mens
2022,Appalachian Athletic Conference,4,St. Thomas (Fla.) - Mens
2022,Appalachian Athletic Conference,5,Montreat (N.C.) - Mens
2022,Appalachian Athletic Conference,6,Keiser (Fla.) - Mens
2022,Appalachian Athletic Conference,7,Truett-McConnell (Ga.) - Mens
2022,Appalachian Athletic Conference,8,Brewton-Parker (Ga.) - Mens
2022,Appalachian Athletic Conference,8,Pikeville (Ky.) - Mens
2022,Appalachian Athletic Conference,9,WVU Tech (W.Va.) - Mens
2022,Cascade Collegiate Conference,1,Menlo (Calif.) - Mens
2022,Cascade Collegiate Conference,2,Eastern Oregon University - Mens
2022,Cascade Collegiate Conference,3,Providence (Mont.) - Mens
2022,Cascade Collegiate Conference,4,Embry-Riddle (Ariz.) - Mens
2022,Cascade Collegiate Conference,5,Southern Oregon University - Mens
2022,Cascade Collegiate Conference,6,Vanguard (Calif.) - Mens
2022,Cascade Collegiate Conference,7,Montana State-Northern - Mens
2022,Cascade Collegiate Conference,8,Corban (Ore.) - Mens
2022,Cascade Collegiate Conference,9,Arizona Christian University - Mens
2022,Cascade Collegiate Conference,10,Simpson (Calif.) - Mens
2022,Great Plains Athletic Conference,1,Doane (Neb.) - Mens
2022,Great Plains Athletic Conference,2,Morningside (Iowa) - Mens
2022,Great Plains Athletic Conference,3,Briar Cliff (Iowa) - Mens
2022,Great Plains Athletic Conference,4,Dakota Wesleyan (S.D.) - Mens
2022,Great Plains Athletic Conference,5,Concordia (Neb.) - Mens
2022,Great Plains Athletic Conference,6,Northwestern (Iowa) - Mens
2022,Great Plains Athletic Conference,7,Midland (Neb.) - Mens
2022,Great Plains Athletic Conference,9,Hastings (Neb.) - Mens
2022,Great Plains Athletic Conference,10,Waldorf (Iowa) - Mens
2022,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2022,Heart of America Athletic Conference,2,Missouri Valley College
2022,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2022,Heart of America Athletic Conference,3,Baker (Kan.) - Mens
2022,Heart of America Athletic Conference,4,Dickinson State (N.D.) - Mens
2022,Heart of America Athletic Conference,5,Graceland (Iowa) - Mens
2022,Heart of America Athletic Conference,6,William Penn (Iowa) - Mens
2022,Heart of America Athletic Conference,7,Central Methodist (Mo.) - Mens
2022,Heart of America Athletic Conference,8,St. Ambrose (Iowa) - Mens
2022,Heart of America Athletic Conference,9,Benedictine (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,1,Ottawa (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,2,Avila (Mo.) - Mens
2022,Kansas Collegiate Athletic Conference,3,Saint Mary (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2022,Kansas Collegiate Athletic Conference,5,Friends (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,6,Bethany (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,7,York (Neb.) - Mens
2022,Kansas Collegiate Athletic Conference,8,Jamestown (N.D.) - Mens
2022,Mid-South Conference,1,Campbellsville (Ky.) - Mens
2022,Mid-South Conference,2,Lindsey Wilson (Ky.) - Mens
2022,Mid-South Conference,3,Cumberland (Tenn.) - Mens
2022,Mid-South Conference,4,Cumberlands (Ky.) - Mens
2022,Mid-South Conference,5,Midway (Ky.) - Mens
2022,Mid-South Conference,7,Rio Grande (Ohio) - Mens
2022,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2022,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2022,Wolverine-Hoosier Athletic Conference,4,Cornerstone (Mich.) - Mens
2022,Wolverine-Hoosier Athletic Conference,5,Lourdes (Ohio) - Mens
2022,Wolverine-Hoosier Athletic Conference,6,Siena Heights (Mich.) - Mens
2022,Wolverine-Hoosier Athletic Conference,7,Cleary (Mich.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2023,American Midwest Conference/Sooner Athletic Conference,2,Texas Wesleyan University - Mens
2023,American Midwest Conference/Sooner Athletic Conference,4,Wayland Baptist (Texas) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,5,Williams Baptist (Ark.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,6,Central Baptist (Ark.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,7,Jarvis Christian (Texas) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,8,William Woods (Mo.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,9,Central Christian (Kan.) - Mens
2023,Appalachian Athletic Conference,1,Life (Ga.) - Mens
2023,Appalachian Athletic Conference,2,Southeastern (Fla.) - Mens
2023,Appalachian Athletic Conference,3,Reinhardt (Ga.) - Mens
2023,Appalachian Athletic Conference,4,Keiser (Fla.) - Mens
2023,Appalachian Athletic Conference,4,Brewton-Parker (Ga.) - Mens
2023,Appalachian Athletic Conference,5,Truett McConnell (Ga.) - Mens
2023,Appalachian Athletic Conference,6,St. Thomas (Fla.) - Mens
2023,Appalachian Athletic Conference,7,Montreat (N.C.) - Mens
2023,Appalachian Athletic Conference,8,Pikeville (Ky.) - Mens
2023,Appalachian Athletic Conference,10,WVU Tech (W.Va.) - Mens
2023,Cascade Collegiate Conference,2,Providence (Mont.) - Mens
2023,Cascade Collegiate Conference,3,Embry-Riddle (Ariz.) - Mens
2023,Cascade Collegiate Conference,4,Southern Oregon University - Mens
2023,Cascade Collegiate Conference,5,Eastern Oregon University - Mens
2023,Cascade Collegiate Conference,6,Montana State-Northern - Mens
2023,Cascade Collegiate Conference,7,Corban (Ore.) - Mens
2023,Cascade Collegiate Conference,9,Arizona Christian University - Mens
2023,Cascade Collegiate Conference,10,Simpson (Calif.) - Mens
2023,Great Plains Athletic Conference,1,Doane (Neb.) - Mens
2023,Great Plains Athletic Conference,2,Morningside (Iowa) - Mens
2023,Great Plains Athletic Conference,3,Briar Cliff (Iowa) - Mens
2023,Great Plains Athletic Conference,4,Dakota Wesleyan (S.D.) - Mens
2023,Great Plains Athletic Conference,5,Northwestern (Iowa) - Mens
2023,Great Plains Athletic Conference,6,Concordia (Neb.) - Mens
2023,Great Plains Athletic Conference,8,Hastings (Neb.) - Mens
2023,Great Plains Athletic Conference,9,Midland (Neb.) - Mens
2023,Great Plains Athletic Conference,10,Waldorf (Iowa) - Mens
2023,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2023,Heart of America Athletic Conference,2,Missouri Valley College
2023,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2023,Heart of America Athletic Conference,3,Graceland (Iowa) - Mens
2023,Heart of America Athletic Conference,4,Central Methodist (Mo.) - Mens
2023,Heart of America Athletic Conference,5,Baker (Kan.) - Mens
2023,Heart of America Athletic Conference,6,Dickinson State (N.D.) - Mens
2023,Heart of America Athletic Conference,7,William Penn (Iowa) - Mens
2023,Heart of America Athletic Conference,8,Benedictine (Kan.) - Mens
2023,Heart of America Athletic Conference,9,St. Ambrose University - Mens
2023,Kansas Collegiate Athletic Conference,1,Ottawa (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,2,Saint Mary (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,3,Avila (Mo.) - Mens
2023,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2023,Kansas Collegiate Athletic Conference,5,York (Neb.) - Mens
2023,Kansas Collegiate Athletic Conference,6,Friends (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,7,Bethany (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,7,Jamestown (N.D.) - Mens
2023,Mid-South Conference,1,Campbellsville (Ky.) - Mens
2023,Mid-South Conference,2,Cumberland (Tenn.) - Mens
2023,Mid-South Conference,3,Cumberlands (Ky.) - Mens
2023,Mid-South Conference,4,Lindsey Wilson (Ky.) - Mens
2023,Mid-South Conference,5,Midway (Ky.) - Mens
2023,Mid-South Conference,6,Rio Grande (Ohio) - Mens
2023,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2023,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2023,Wolverine-Hoosier Athletic Conference,3,Lourdes (Ohio) - Mens
2023,Wolverine-Hoosier Athletic Conference,5,Cornerstone (Mich.) - Mens
2023,Wolverine-Hoosier Athletic Conference,6,Siena Heights (Mich.) - Mens
2023,Wolverine-Hoosier Athletic Conference,7,Cleary (Mich.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2024,American Midwest Conference/Sooner Athletic Conference,3,Wayland Baptist (Texas) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,4,Texas Wesleyan University - Mens
2024,American Midwest Conference/Sooner Athletic Conference,5,William Woods (Mo.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,6,Central Baptist (Ark.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,7,Jarvis Christian (Texas) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,8,Williams Baptist (Ark.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,9,Central Christian (Kan.) - Mens
2024,Appalachian Athletic Conference,1,Life (Ga.) - Mens
2024,Appalachian Athletic Conference,2,Southeastern (Fla.) - Mens
2024,Appalachian Athletic Conference,3,Reinhardt (Ga.) - Mens
2024,Appalachian Athletic Conference,4,St. Thomas (Fla.) - Mens
2024,Appalachian Athletic Conference,5,Keiser (Fla.) - Mens
2024,Appalachian Athletic Conference,6,Brewton-Parker (Ga.) - Mens
2024,Appalachian Athletic Conference,7,Truett McConnell (Ga.) - Mens
2024,Appalachian Athletic Conference,8,Pikeville (Ky.) - Mens
2024,Appalachian Athletic Conference,9,WVU Tech (W.Va) - Mens
2024,Appalachian Athletic Conference,10,Montreat (N.C.) - Mens
2024,Cascade Collegiate Conference,1,Providence (Mont.) - Mens
2024,Cascade Collegiate Conference,2,Embry-Riddle (Ariz.) - Mens
2024,Cascade Collegiate Conference,3,Southern Oregon University - Mens
2024,Cascade Collegiate Conference,4,Corban (Ore.) - Mens
2024,Cascade Collegiate Conference,5,Montana State-Northern - Mens
2024,Cascade Collegiate Conference,6,Eastern Oregon University - Mens
2024,Cascade Collegiate Conference,7,Arizona Christian University - Mens
2024,Cascade Collegiate Conference,8,Simpson (Calif.) - Mens
2024,Cascade Collegiate Conference,9,Westcliff (Calif.) - Mens
2024,Cascade Collegiate Conference,10,Evergreen State (Wash.) - Mens
2024,Great Plains Athletic Conference,1,Doane (Neb.) - Mens
2024,Great Plains Athletic Conference,2,Concordia (Neb.) - Mens
2024,Great Plains Athletic Conference,3,Morningside (Iowa) - Mens
2024,Great Plains Athletic Conference,4,Dakota Wesleyan (S.D.) - Mens
2024,Great Plains Athletic Conference,5,Hastings (Neb.) - Mens
2024,Great Plains Athletic Conference,6,Briar Cliff (Iowa) - Mens
2024,Great Plains Athletic Conference,7,Northwestern (Iowa) - Mens
2024,Great Plains Athletic Conference,8,Midland (Neb.) - Mens
2024,Great Plains Athletic Conference,9,Waldorf (Iowa) - Mens
2024,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2024,Heart of America Athletic Conference,2,Missouri Baptist University - Mens
2024,Heart of America Athletic Conference,2,Missouri Valley College
2024,Heart of America Athletic Conference,3,Central Methodist (Mo.) - Mens
2024,Heart of America Athletic Conference,4,Graceland (Iowa) - Mens
2024,Heart of America Athletic Conference,5,Dickinson State (N.D.) - Mens
2024,Heart of America Athletic Conference,6,St. Ambrose (Iowa) - Mens
2024,Heart of America Athletic Conference,7,Baker (Kan.) - Mens
2024,Heart of America Athletic Conference,8,William Penn (Iowa) - Mens
2024,Heart of America Athletic Conference,9,Benedictine (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,1,Saint Mary (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,2,Friends (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,3,York (Neb.) - Mens
2024,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2024,Kansas Collegiate Athletic Conference,5,Avila (Mo.) - Mens
2024,Kansas Collegiate Athletic Conference,6,Ottawa (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,7,Jamestown (N.D.) - Mens
2024,Kansas Collegiate Athletic Conference,8,Bethany (Kan.) - Mens
2024,Mid-South Conference,1,Campbellsville (Ky.) - Mens
2024,Mid-South Conference,2,Cumberlands (Ky.) - Mens
2024,Mid-South Conference,3,Cumberland (Tenn.) - Mens
2024,Mid-South Conference,4,Lindsey Wilson (Ky.) - Mens
2024,Mid-South Conference,5,Rio Grande (Ohio) - Mens
2024,Mid-South Conference,6,Midway (Ky.) - Mens
2024,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2024,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2024,Wolverine-Hoosier Athletic Conference,3,Cornerstone (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,4,Rochester Christian (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,5,Lourdes (Ohio) - Mens
2024,Wolverine-Hoosier Athletic Conference,6,Cleary (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,7,Siena Heights (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,8,Defiance (Ohio) - Mens
2025,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2025,American Midwest Conference/Sooner Athletic Conference,2,Wayland Baptist (Texas) - Mens
2025,American Midwest Conference/Sooner Athletic Conference,3,Texas Wesleyan University - Mens
2025,American Midwest Conference/Sooner Athletic Conference,4,Williams Baptist College - Mens
2025,American Midwest Conference/Sooner Athletic Conference,5,Central Baptist (Ark.) - Mens
2025,American Midwest Conference/Sooner Athletic Conference,6,Central Christian College (KS) - Mens
2025,Appalachian Athletic Conference,1,Life University - Mens
2025,Appalachian Athletic Conference,2,Southeastern University - Mens
2025,Appalachian Athletic Conference,3,Reinhardt University (GA) - Mens
2025,Appalachian Athletic Conference,4,Keiser University - Mens
2025,Appalachian Athletic Conference,5,St. Thomas University - Mens
2025,Appalachian Athletic Conference,6,Truett-McConnell (Ga.) - Mens
2025,Appalachian Athletic Conference,7,Brewton-Parker (GA) - Mens
2025,Appalachian Athletic Conference,8,Montreat College - Mens
2025,Appalachian Athletic Conference,9,WVU Tech (W.Va.) - Mens
2025,Appalachian Athletic Conference,10,University of Pikeville - Mens
2025,Cascade Collegiate Conference,1,Southern Oregon University - Mens
2025,Cascade Collegiate Conference,2,Embry-Riddle (Ariz.) - Mens
2025,Cascade Collegiate Conference,3,Providence (Mont.) - Mens
2025,Cascade Collegiate Conference,4,Arizona Christian University - Mens
2025,Cascade Collegiate Conference,5,Eastern Oregon University (OR) - Mens
2025,Cascade Collegiate Conference,6,Corban University - Mens
2025,Cascade Collegiate Conference,7,Montana State-Northern - Mens
2025,Cascade Collegiate Conference,8,Simpson (Calif.) - Mens
2025,Cascade Collegiate Conference,9,Westcliff University - Mens
2025,Cascade Collegiate Conference,10,Evergreen State College - Mens
2025,Great Plains Athletic Conference,1,Doane University - Mens
2025,Great Plains Athletic Conference,2,Morningside (Iowa) - Mens
2025,Great Plains Athletic Conference,3,Concordia (Neb.) - Mens
2025,Great Plains Athletic Conference,4,Northwestern (Iowa) - Mens
2025,Great Plains Athletic Conference,5,Dakota Wesleyan (S.D.) - Mens
2025,Great Plains Athletic Conference,6,Briar Cliff (Iowa) - Mens
2025,Great Plains Athletic Conference,7,Hastings (Neb.) - Mens
2025,Great Plains Athletic Conference,8,Midland (Neb.) - Mens
2025,Great Plains Athletic Conference,9,Waldorf (Iowa) - Mens
2025,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2025,Heart of America Athletic Conference,2,Central Methodist University - Mens
2025,Heart of America Athletic Conference,2,Missouri Valley College
2025,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2025,Heart of America Athletic Conference,4,Dickinson State (N.D.) - Mens
2025,Heart of America Athletic Conference,5,William Penn (Iowa) - Mens
2025,Heart of America Athletic Conference,6,William Woods University - Mens
2025,Heart of America Athletic Conference,6,Baker (Kan.) - Mens
2025,Heart of America Athletic Conference,7,Graceland University - Mens
2025,Heart of America Athletic Conference,7,St. Ambrose University - Mens
2025,Kansas Collegiate Athletic Conference,1,Friends University - Mens
2025,Kansas Collegiate Athletic Conference,2,Avila University - Mens
2025,Kansas Collegiate Athletic Conference,3,University of Saint Mary (KS) - Mens
2025,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2025,Kansas Collegiate Athletic Conference,5,Ottawa University - Mens
2025,Kansas Collegiate Athletic Conference,6,Bethany (Kan.) - Mens
2025,Kansas Collegiate Athletic Conference,7,York (Neb.) - Mens
2025,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2025,Wolverine-Hoosier Athletic Conference,2,Marian University (IN) - Mens
2025,Wolverine-Hoosier Athletic Conference,3,Cornerstone University - Mens
2025,Wolverine-Hoosier Athletic Conference,4,Rochester Christian University - Mens
2025,Wolverine-Hoosier Athletic Conference,5,Lourdes University - Mens
2025,Wolverine-Hoosier Athletic Conference,6,Siena Heights University - Mens
2025,Wolverine-Hoosier Athletic Conference,7,Cleary University- Mens
2025,Wolverine-Hoosier Athletic Conference,8,Defiance College - Mens
