College Division,School,Region,2020 Conference Team Place,2021 Conference Team Place,2022 Conference Team Place,2023 Conference Team Place,2024 Conference Team Place,2025 Conference Team Place
NAIA,Central Baptist College - Mens,American Midwest Conference/Sooner Athletic Conference,,,,,,
NAIA,Central Christian College - Mens,American Midwest Conference/Sooner Athletic Conference,8,,,,,
NAIA,Hannibal-LaGrange University (MO) - Mens,American Midwest Conference/Sooner Athletic Conference,,,,,,
NAIA,Oklahoma City University - Mens,American Midwest Conference/Sooner Athletic Conference,3,1,1,1,1,1
NAIA,Texas Wesleyan University - Mens,American Midwest Conference/Sooner Athletic Conference,2,2,2,2,4,3
NAIA,Wayland Baptist University - Mens,American Midwest Conference/Sooner Athletic Conference,,,,,,
NAIA,Williams Baptist College - Mens,American Midwest Conference/Sooner Athletic Conference,,1,,,,4
NAIA,Brewton-Parker College - Mens,Appalachian Athletic Conference,,,,,,
NAIA,Keiser University - Mens,Appalachian Athletic Conference,,,,,,4
NAIA,Life University - Mens,Appalachian Athletic Conference,,,,,,1
NAIA,Montreat College - Mens,Appalachian Athletic Conference,,,,,,8
NAIA,Reinhardt University - Mens,Appalachian Athletic Conference,,,,,,
NAIA,Southeastern University - Mens,Appalachian Athletic Conference,,,,,,2
NAIA,St. Thomas University - Mens,Appalachian Athletic Conference,,,,,,5
NAIA,Truett McConnell University - Mens,Appalachian Athletic Conference,,,,,,
NAIA,University of Pikeville - Mens,Appalachian Athletic Conference,,,,,,10
NAIA,WVU Institute of Technology - Mens,Appalachian Athletic Conference,,,,,,
NAIA,Arizona Christian University - Mens,Cascade Collegiate Conference,,11,9,9,7,4
NAIA,Corban University - Mens,Cascade Collegiate Conference,,,,,,6
NAIA,Eastern Oregon University - Mens,Cascade Collegiate Conference,,1,2,5,6,
NAIA,Embry-Riddle Aeronautical University- Mens,Cascade Collegiate Conference,,,,,,
NAIA,Evergreen State College - Mens,Cascade Collegiate Conference,,,,,,10
NAIA,Hope International University - Mens,Cascade Collegiate Conference,,,,,,
NAIA,Montana State University- Northern- Mens,Cascade Collegiate Conference,,,,,,
NAIA,Simpson University (Calif.) - Mens,Cascade Collegiate Conference,,,,,,
NAIA,Southern Oregon University - Mens,Cascade Collegiate Conference,,8,5,4,3,1
NAIA,University of Providence - Mens,Cascade Collegiate Conference,,,,,,
NAIA,Westcliff University - Mens,Cascade Collegiate Conference,,,,,,9
NAIA,Briar Cliff University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Concordia University (Neb.) - Men's,Great Plains Athletic Conference,,,,,,
NAIA,Dakota Wesleyan University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Doane University - Mens,Great Plains Athletic Conference,,1,,,,1
NAIA,Hastings College - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Midland University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Morningside University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Northwestern College (Iowa) - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Waldorf University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Baker University - Mens,Heart of America Conference,,,,,,
NAIA,Benedictine College - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Bismarck State College - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Central Methodist University - Mens,Heart of America Athletic Conference,,,,,,2
NAIA,Dickinson State University - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Graceland University - Mens,Heart of America Athletic Conference,,,,,,7
NAIA,Grand View University - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Missouri Baptist University - Mens,Heart of America Athletic Conference,3,3,3,3,2,3
NAIA,Missouri Valley College,Heart of America Athletic Conference,2,3,2,2,2,2
NAIA,St. Ambrose University - Mens,Heart of America Athletic Conference,,,,9,,7
NAIA,William Penn University - Mens,Heart of America Athletic Conference,,,,,,
NAIA,William Woods University - Mens,Heart of America Athletic Conference,,,,,,6
NAIA,Avila University - Mens,Kansas Collegiate Athletic Conference,,,,,,2
NAIA,Bethany College (Kan.) - Mens,Kansas Collegiate Athletic Conference,,,,,,
NAIA,Friends University - Mens,Kansas Collegiate Athletic Conference,,,,,,1
NAIA,Oklahoma Wesleyan University - Mens,Kansas Collegiate Athletic Conference,,6,4,4,4,4
NAIA,Ottawa University - Mens,Kansas Collegiate Athletic Conference,,,,,,5
NAIA,University of St. Mary - Mens,Kansas Collegiate Athletic Conference,,,,,,
NAIA,York University - Mens,Kansas Collegiate Athletic Conference,,,,,,
NAIA,Campbellsville University (KY) - Mens,Mid-South Conference,,,,,,
NAIA,Cumberland University (Tenn.) - Mens,Mid-South Conference,,,,,,
NAIA,Georgetown College - Mens,Mid-South Conference,,,,,,
NAIA,Midway University - Mens,Mid-South Conference,,,,,,
NAIA,University of Rio Grande - Mens,Mid-South Conference,,,,,,
NAIA,University of the Cumberlands - Mens,Mid-South Conference,,,,,,
NAIA,Cleary University- Mens,Wolverine-Hoosier Athletic Conference,,,,,,7
NAIA,Cornerstone University - Mens,Wolverine-Hoosier Athletic Conference,,,,,,3
NAIA,Defiance College - Mens,Wolverine-Hoosier Athletic Conference,,,,,,8
NAIA,Indiana Tech - Mens,Wolverine-Hoosier Athletic Conference,1,1,1,1,1,1
NAIA,Lourdes University - Mens,Wolverine-Hoosier Athletic Conference,,,,,,5
NAIA,Marian University - Mens,Wolverine-Hoosier Athletic Conference,,,,,,
NAIA,Rochester Christian University - Mens,Wolverine-Hoosier Athletic Conference,,,,,,4
NAIA,Siena Heights University - Mens,Wolverine-Hoosier Athletic Conference,,,,,,6
NAIA,Menlo College - Mens,,,,,,,
NAIA,University of Jamestown - Mens,,,,,,,
NAIA,Reinhardt University (GA) - Mens,Appalachian Athletic Conference,,,,,,3
NAIA,Truett-McConnell (Ga.) - Mens,Appalachian Athletic Conference,2,3,7,,,6
NAIA,Brewton-Parker (GA) - Mens,Appalachian Athletic Conference,,,,,,7
NAIA,WVU Tech (W.Va.) - Mens,Appalachian Athletic Conference,6,6,9,10,,9
NAIA,Embry-Riddle (Ariz.) - Mens,Cascade Collegiate Conference,,4,4,3,2,2
NAIA,Providence (Mont.) - Mens,Cascade Collegiate Conference,,6,3,2,1,3
NAIA,Eastern Oregon University (OR) - Mens,Cascade Collegiate Conference,,,,,,5
NAIA,Montana State-Northern - Mens,Cascade Collegiate Conference,1,3,7,6,5,7
NAIA,Simpson (Calif.) - Mens,Cascade Collegiate Conference,,9,10,10,8,8
NAIA,Morningside (Iowa) - Mens,Great Plains Athletic Conference,1,2,2,2,3,2
NAIA,Concordia (Neb.) - Mens,Great Plains Athletic Conference,6,6,5,6,2,3
NAIA,Northwestern (Iowa) - Mens,Great Plains Athletic Conference,5,5,6,5,7,4
NAIA,Briar Cliff (Iowa) - Mens,Great Plains Athletic Conference,2,4,3,3,6,6
NAIA,Hastings (Neb.) - Mens,Great Plains Athletic Conference,4,3,9,8,5,7
NAIA,Dakota Wesleyan (S.D.) - Mens,Great Plains Athletic Conference,9,9,4,4,4,5
NAIA,Midland (Neb.) - Mens,Great Plains Athletic Conference,7,7,7,9,8,8
NAIA,Waldorf (Iowa) - Mens,Great Plains Athletic Conference,9,9,10,10,9,9
NAIA,Grand View (Iowa) - Mens,Heart of America Athletic Conference,1,1,1,1,1,1
NAIA,Dickinson State (N.D.) - Mens,Heart of America Athletic Conference,5,5,4,6,5,4
NAIA,Baker (Kan.) - Mens,Heart of America Athletic Conference,4,2,3,5,7,6
NAIA,William Penn (Iowa) - Mens,Heart of America Athletic Conference,7,7,6,7,8,5
NAIA,University of Saint Mary (KS) - Mens,Kansas Collegiate Athletic Conference,,,,,,3
NAIA,Bethany (Kan.) - Mens,Kansas Collegiate Athletic Conference,6,7,6,7,8,6
NAIA,York (Neb.) - Mens,Kansas Collegiate Athletic Conference,5,2,7,5,3,7
NAIA,Wayland Baptist (Texas) - Mens,American Midwest Conference/Sooner Athletic Conference,4,3,4,4,3,2
NAIA,Central Baptist (Ark.) - Mens,American Midwest Conference/Sooner Athletic Conference,4,5,6,6,6,5
NAIA,Central Christian College (KS) - Mens,American Midwest Conference/Sooner Athletic Conference,,,,,,6
NAIA,Marian University (IN) - Mens,Wolverine-Hoosier Athletic Conference,,,,,,2
NAIA,Life (Ga.) - Mens,Appalachian Athletic Conference,,,1,1,1,
NAIA,Southeastern (Fla.) - Mens,Appalachian Athletic Conference,,,2,2,2,
NAIA,Reinhardt (Ga.) - Mens,Appalachian Athletic Conference,1,1,3,3,3,
NAIA,St. Thomas (Fla.) - Mens,Appalachian Athletic Conference,,,4,6,4,
NAIA,Keiser (Fla.) - Mens,Appalachian Athletic Conference,,,6,4,5,
NAIA,Brewton-Parker (Ga.) - Mens,Appalachian Athletic Conference,,,8,4,6,
NAIA,Truett McConnell (Ga.) - Mens,Appalachian Athletic Conference,,,,5,7,
NAIA,WVU Tech (W.Va) - Mens,Appalachian Athletic Conference,,,,,9,
NAIA,Pikeville (Ky.) - Mens,Appalachian Athletic Conference,,,8,8,8,
NAIA,Montreat (N.C.) - Mens,Appalachian Athletic Conference,3,2,5,7,10,
NAIA,Corban (Ore.) - Mens,Cascade Collegiate Conference,,7,8,7,4,
NAIA,Westcliff (Calif.) - Mens,Cascade Collegiate Conference,,,,,9,
NAIA,Evergreen State (Wash.) - Mens,Cascade Collegiate Conference,,,,,10,
NAIA,Doane (Neb.) - Mens,Great Plains Athletic Conference,3,,1,1,1,
NAIA,Central Methodist (Mo.) - Mens,Heart of America Athletic Conference,6,6,7,4,3,
NAIA,Graceland (Iowa) - Mens,Heart of America Athletic Conference,3,4,5,3,4,
NAIA,St. Ambrose (Iowa) - Mens,Heart of America Athletic Conference,,,8,,6,
NAIA,Benedictine (Kan.) - Mens,Heart of America Athletic Conference,8,8,9,8,9,
NAIA,Saint Mary (Kan.) - Mens,Kansas Collegiate Athletic Conference,,3,3,2,1,
NAIA,Friends (Kan.) - Mens,Kansas Collegiate Athletic Conference,,5,5,6,2,
NAIA,Ottawa (Kan.) - Mens,Kansas Collegiate Athletic Conference,1,1,1,1,6,
NAIA,Avila (Mo.) - Mens,Kansas Collegiate Athletic Conference,,4,2,3,5,
NAIA,Jamestown (N.D.) - Mens,Kansas Collegiate Athletic Conference,8,8,8,7,7,
NAIA,Cumberlands (Ky.) - Mens,Mid-South Conference,3,1,4,3,2,
NAIA,Campbellsville (Ky.) - Mens,Mid-South Conference,5,4,1,1,1,
NAIA,Cumberland (Tenn.) - Mens,Mid-South Conference,2,2,3,2,3,
NAIA,Lindsey Wilson (Ky.) - Mens,Mid-South Conference,1,3,2,4,4,
NAIA,Midway (Ky.) - Mens,Mid-South Conference,6,,5,5,6,
NAIA,Rio Grande (Ohio) - Mens,Mid-South Conference,7,,7,6,5,
NAIA,William Woods (Mo.) - Mens,American Midwest Conference/Sooner Athletic Conference,,,,8,5,
NAIA,Jarvis Christian (Texas) - Mens,American Midwest Conference/Sooner Athletic Conference,,,9,7,7,
NAIA,Williams Baptist (Ark.) - Mens,American Midwest Conference/Sooner Athletic Conference,1,2,5,5,8,
NAIA,Central Christian (Kan.) - Mens,American Midwest Conference/Sooner Athletic Conference,,,7,9,9,
NAIA,Cornerstone (Mich.) - Mens,Wolverine-Hoosier Athletic Conference,,3,4,5,3,
NAIA,Marian (Ind.) - Mens,Wolverine-Hoosier Athletic Conference,2,2,2,2,2,
NAIA,Lourdes (Ohio) - Mens,Wolverine-Hoosier Athletic Conference,3,4,5,3,5,
NAIA,Rochester Christian (Mich.) - Mens,Wolverine-Hoosier Athletic Conference,,,,,4,
NAIA,Siena Heights (Mich.) - Mens,Wolverine-Hoosier Athletic Conference,6,5,6,6,7,
NAIA,Cleary (Mich.) - Mens,Wolverine-Hoosier Athletic Conference,5,6,7,7,6,
NAIA,Defiance (Ohio) - Mens,Wolverine-Hoosier Athletic Conference,,,,,8,
NAIA,Bluefield (Va.) - Mens,Appalachian Athletic Conference,4,4,,,,
NAIA,St. Andrews (N.C.) - Mens,Appalachian Athletic Conference,5,5,,,,
NAIA,Lincoln (Ill.) - Mens,American Midwest Conference/Sooner Athletic Conference,2,1,,,,
NAIA,Lyon (Ark.) - Mens,American Midwest Conference/Sooner Athletic Conference,5,4,8,,,
NAIA,Hannibal-LaGrange (Mo.) - Mens,American Midwest Conference/Sooner Athletic Conference,6,6,,,,
NAIA,Calumet (Ind.) - Mens,American Midwest Conference/Sooner Athletic Conference,,7,,,,
NAIA,Menlo (Calif.) - Mens,Cascade Collegiate Conference,,2,1,,,
NAIA,Vanguard (Calif.) - Mens,Cascade Collegiate Conference,,5,6,,,
NAIA,Life Pacific (Calif.) - Mens,Cascade Collegiate Conference,,10,,,,
NAIA,Warner Pacific (Ore.) - Mens,Cascade Collegiate Conference,,12,,,,
NAIA,Oklahoma Wesleyan (Okla.) - Mens,Kansas Collegiate Athletic Conference,7,,,,,
NAIA,Thomas More (Ky.) - Mens,Mid-South Conference,4,,,,,
